Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,31,24,22,44,-,18,6,7,30,5,8,13,10,5,12,12,9,22
1_22,31,22,24,45,-,18,6,7,30,5,8,14,10,5,12,13,9,22
1_23,32,24,25,45,-,19,7,8,30,5,10,14,10,5,12,13,10,22
1_24,30,24,22,45,-,16,8,8,30,4,9,14,10,5,12,13,10,24
1_25,19,17,17,34,-,12,4,8,20,3,7,15,7,5,8,10,5,15
1_26,27,22,19,41,-,14,8,8,26,4,8,13,9,4,9,9,10,23
1_27,29,24,24,35,-,18,6,8,30,5,8,14,10,5,12,12,10,23
1_28,31,23,21,42,-,18,5,7,30,5,8,13,10,5,12,12,9,21
1_29,31,22,23,45,-,18,6,7,30,5,10,14,10,5,12,12,9,23
1_30,31,24,25,46,-,19,7,8,30,5,9,14,10,5,2,12,10,24
1_31,29,23,25,45,-,17,7,9,30,5,9,14,10,5,12,13,10,23
2_1,18,17,17,34,-,12,4,11,20,3,7,15,7,5,7,8,5,16
2_2,25,22,21,42,-,14,8,8,24,4,8,13,8,4,8,9,10,23
2_3,30,24,25,45,-,19,6,8,30,4,9,14,11,5,12,13,10,23
2_4,30,23,21,39,-,18,5,7,30,5,8,13,10,5,12,13,9,21
2_5,31,22,22,43,-,19,5,7,30,5,10,14,10,5,11,12,9,22
2_6,31,24,25,45,-,18,6,8,30,5,9,14,10,5,11,12,10,24
2_7,29,26,24,47,-,17,7,8,30,5,9,15,10,6,12,12,10,22
2_8,19,17,17,34,-,12,4,8,20,3,7,16,7,5,8,7,5,15
2_9,27,24,20,39,-,14,9,9,27,4,8,15,9,6,10,8,10,21
2_10,30,20,23,43,-,18,8,8,32,5,8,14,11,5,11,12,11,22
2_11,31,20,21,43,-,18,7,7,29,5,7,13,10,5,11,12,10,22
2_12,34,20,24,44,-,18,6,7,28,5,9,13,10,5,12,12,10,24
2_13,32,24,25,46,-,18,8,9,30,5,11,14,11,5,11,15,12,25
2_14,30,23,25,46,-,17,8,9,30,5,9,13,11,5,11,13,12,25
2_15,19,16,18,36,-,14,7,8,18,4,9,18,8,6,5,9,8,16
2_16,24,25,20,36,-,13,9,9,22,4,8,15,9,7,9,8,11,22
2_17,30,22,25,47,-,19,9,9,28,5,8,14,11,5,12,13,12,24
2_18,32,22,24,46,-,18,9,9,29,5,8,13,11,5,12,14,12,25
2_19,32,22,24,45,-,18,8,9,29,5,9,13,10,5,12,14,12,24
2_20,30,22,26,49,-,18,8,9,31,5,8,14,11,5,12,14,13,25
2_21,30,22,25,44,-,17,8,9,29,5,8,14,11,5,12,14,12,24
2_22,21,16,19,37,-,15,5,8,18,4,8,18,8,6,6,10,8,16
2_23,27,24,22,41,-,14,9,9,27,4,7,16,10,7,10,9,12,22
2_24,30,22,25,45,-,19,9,9,29,5,8,14,12,5,11,13,12,26
2_25,30,22,24,47,-,18,9,9,29,5,10,13,11,5,12,13,12,25
2_26,30,22,25,46,-,19,8,9,29,5,11,13,10,5,12,13,12,25
2_27,30,21,26,46,-,17,8,10,29,5,8,14,11,5,12,14,11,25
2_28,30,22,26,46,-,18,9,10,29,5,11,14,11,5,12,14,13,25
2_29,20,16,20,37,-,15,7,8,18,4,9,18,8,6,7,10,8,16
3_1,27,25,22,41,-,14,9,9,27,4,7,16,10,7,11,10,10,22
3_2,30,22,25,47,-,19,9,9,29,5,8,14,12,5,11,14,12,26
3_3,30,22,24,48,-,18,8,9,30,6,8,13,11,5,11,13,12,25
3_4,30,22,24,40,-,19,7,9,29,5,8,14,10,6,10,13,12,23
3_5,30,23,24,45,-,18,8,9,31,5,9,15,11,6,12,13,12,26
3_6,30,23,25,45,-,20,9,9,29,4,10,16,11,6,12,13,12,25
3_7,24,18,26,37,-,15,8,8,23,4,9,18,8,5,9,10,9,20
3_8,27,24,22,40,-,16,8,9,28,5,10,22,9,8,11,9,10,21
3_9,32,21,25,46,-,17,9,9,27,5,9,19,12,7,11,10,10,25
3_10,31,21,25,44,-,15,7,9,27,5,9,18,11,7,11,10,10,24
3_11,31,21,24,43,-,15,6,9,27,5,9,19,10,7,11,10,10,25
3_12,31,21,25,44,-,14,8,10,27,5,9,20,11,7,11,10,10,23
3_13,29,21,24,43,-,15,8,9,26,5,9,19,11,7,11,10,10,26
3_14,25,18,26,38,-,14,8,9,24,4,9,18,8,5,10,12,9,23
3_15,28,23,23,39,-,16,8,9,29,5,10,22,10,8,11,9,10,21
3_16,29,21,25,43,-,16,9,9,27,5,9,19,11,7,10,10,10,24
3_17,30,20,22,36,-,15,9,9,28,5,9,18,11,7,10,10,10,24
3_18,27,20,18,38,-,15,7,9,27,5,7,16,10,7,9,10,8,22
3_19,26,19,13,34,-,13,8,9,24,4,8,18,11,7,7,10,10,8
3_20,21,18,19,36,-,14,9,9,19,5,7,18,11,7,9,9,9,20
3_21,14,9,16,32,-,12,6,7,19,2,6,17,7,3,8,8,8,18
3_22,11,15,12,31,-,7,4,7,20,2,5,15,10,5,6,7,9,14
,,,,,,,,,,,,,,,,,,
